Bin , nEvents , Efficiencies
152.41,546,0.01092
165.05,650,0.013
178.75,737,0.01474
193.57,796,0.01592
209.63,866,0.01732
227.02,943,0.01886
245.86,977,0.01954
266.25,1076,0.02152
288.34,1106,0.02212
312.26,1121,0.02242
338.16,1156,0.02312
366.21,1210,0.0242
396.59,1251,0.02502
429.49,1287,0.02574
465.12,1203,0.02406
503.71,1233,0.02466
545.49,1240,0.0248
590.74,1222,0.02444
639.75,1162,0.02324
692.82,1186,0.02372
750.29,1097,0.02194
812.54,1053,0.02106
879.94,990,0.0198
952.94,824,0.01648
1032,811,0.01622
1117.6,699,0.01398
1210.3,606,0.01212
1310.7,568,0.01136
1419.4,465,0.0093
1537.2,408,0.00816
1664.7,343,0.00686
1802.8,243,0.00486
1952.4,193,0.00386
2114.3,150,0.003
2289.7,117,0.00234
2479.7,90,0.0018
