Bin , nEvents , Efficiencies
152.41,517,0.01034
165.05,644,0.01288
178.75,757,0.01514
193.57,857,0.01714
209.63,932,0.01864
227.02,996,0.01992
245.86,1061,0.02122
266.25,1155,0.0231
288.34,1216,0.02432
312.26,1240,0.0248
338.16,1292,0.02584
366.21,1300,0.026
396.59,1394,0.02788
429.49,1293,0.02586
465.12,1302,0.02604
503.71,1316,0.02632
545.49,1268,0.02536
590.74,1199,0.02398
639.75,1243,0.02486
692.82,1079,0.02158
750.29,1007,0.02014
812.54,1007,0.02014
879.94,858,0.01716
952.94,695,0.0139
1032,714,0.01428
1117.6,619,0.01238
1210.3,517,0.01034
1310.7,434,0.00868
1419.4,341,0.00682
1537.2,293,0.00586
1664.7,222,0.00444
1802.8,155,0.0031
1952.4,143,0.00286
2114.3,112,0.00224
2289.7,79,0.00158
2479.7,48,0.00096
