bin_HH,nEvents,Efficiencies
150,6,0.00012
200,14,0.00028
250,24,0.00048
300,16,0.00032
350,17,0.00034
400,20,0.0004
450,20,0.0004
500,12,0.00024
550,24,0.00048
650,68,0.00136
