bin_HH,nEvents,Efficiencies
50,3,6e-05
100,4,8e-05
150,2,4e-05
200,1,2e-05
250,1,2e-05
300,1,2e-05
350,2,4e-05
400,4,8e-05
500,1,2e-05
600,7,0.00014
