Bin , nEvents , Efficiencies
150,309,0.00618
160,347,0.00694
170,328,0.00656
180,334,0.00668
190,345,0.0069
200,709,0.01418
220,685,0.0137
240,666,0.01332
260,638,0.01276
280,617,0.01234
300,578,0.01156
320,592,0.01184
340,602,0.01204
360,566,0.01132
380,514,0.01028
400,524,0.01048
420,492,0.00984
440,441,0.00882
460,466,0.00932
480,447,0.00894
500,442,0.00884
520,374,0.00748
540,371,0.00742
560,370,0.0074
580,336,0.00672
600,500,0.01
630,490,0.0098
660,410,0.0082
690,407,0.00814
720,356,0.00712
750,376,0.00752
780,307,0.00614
810,286,0.00572
840,284,0.00568
870,281,0.00562
900,428,0.00856
950,394,0.00788
1000,357,0.00714
1050,304,0.00608
1100,275,0.0055
1150,260,0.0052
1200,248,0.00496
1250,239,0.00478
1310,175,0.0035
1370,173,0.00346
1430,150,0.003
1490,144,0.00288
1550,138,0.00276
1610,130,0.0026
1680,108,0.00216
1750,83,0.00166
1820,72,0.00144
1890,85,0.0017
1970,63,0.00126
2050,62,0.00124
