bin_HH,nEvents,Efficiencies
150,99,0.00198
200,139,0.00278
250,125,0.0025
300,88,0.00176
350,62,0.00124
400,62,0.00124
450,35,0.0007
500,51,0.00102
600,37,0.00074
700,20,0.0004
800,21,0.00042
900,9,0.00018
1000,6,0.00012
1150,10,0.0002
