bin_HH,nEvents,Efficiencies
150,0,0
200,1,2e-05
250,1,2e-05
300,4,8e-05
350,2,4e-05
400,5,0.0001
450,4,8e-05
500,4,8e-05
550,3,6e-05
650,20,0.0004
