bin_HH,nEvents,Efficiencies
150,62,0.00124
200,112,0.00224
250,116,0.00232
300,104,0.00208
350,77,0.00154
400,75,0.0015
450,63,0.00126
500,88,0.00176
600,71,0.00142
700,33,0.00066
800,17,0.00034
900,15,0.0003
1000,23,0.00046
1150,11,0.00022
