bin_HH,nEvents,Efficiencies
150,45,0.0009
200,147,0.00294
250,143,0.00286
300,158,0.00316
350,129,0.00258
400,120,0.0024
450,135,0.0027
500,231,0.00462
600,151,0.00302
700,128,0.00256
800,101,0.00202
900,94,0.00188
1000,79,0.00158
1150,98,0.00196
