bin_HH,nEvents,Efficiencies
50,2,4e-05
100,4,8e-05
150,5,0.0001
200,3,6e-05
250,3,6e-05
300,5,0.0001
350,5,0.0001
400,7,0.00014
500,8,0.00016
600,42,0.00084
