Bin , nEvents , Efficiencies
150,5,0.0001
160,11,0.00022
170,11,0.00022
180,13,0.00026
190,16,0.00032
200,44,0.00088
220,44,0.00088
240,69,0.00138
260,72,0.00144
280,69,0.00138
300,67,0.00134
320,71,0.00142
340,83,0.00166
360,87,0.00174
380,96,0.00192
400,109,0.00218
420,114,0.00228
440,118,0.00236
460,123,0.00246
480,128,0.00256
500,132,0.00264
520,147,0.00294
540,149,0.00298
560,138,0.00276
580,149,0.00298
600,237,0.00474
630,229,0.00458
660,267,0.00534
690,295,0.0059
720,271,0.00542
750,290,0.0058
780,290,0.0058
810,282,0.00564
840,301,0.00602
870,309,0.00618
900,530,0.0106
950,550,0.011
1000,525,0.0105
1050,576,0.01152
1100,541,0.01082
1150,565,0.0113
1200,554,0.01108
1250,610,0.0122
1310,641,0.01282
1370,699,0.01398
1430,647,0.01294
1490,679,0.01358
1550,650,0.013
1610,727,0.01454
1680,697,0.01394
1750,643,0.01286
1820,652,0.01304
1890,683,0.01366
1970,617,0.01234
2050,603,0.01206
